id,Title,Authors,Source Title,Year,exclude,reason,lat,lon,elevation,city,country,human.population,human.density,GI type,GI.control,ecological.measure,intentional.species,intentional.abd,abiotic.measure,distance.greenspace,site.number,area,perimeter,height
657,Is forest landscape restoration socially desirable? A discrete choice experiment applied to the Scandinavian transboundary Fulufjallet National Park Area,"Valasiuk, Sviataslau; Czajkowski, Mikolaj; Giergiczny, Marek; Zylicz, Tomasz; Veisten, Knut; Mata, Iratxe Landa; Halse, Askill H.; Elbakidze, Marine; Angelstam, Per",RESTORATION ECOLOGY,2018,,,,,,,,,,,,,,,,,,,,
658,De-icing salt contamination reduces urban tree performance in structural soil cells,"Ordonez-Barona, Camilo; Sabetski, Vadim; Millward, Andrew A.; Steenberg, James",ENVIRONMENTAL POLLUTION,2018,,,,,,,,,,,,,,,,,,,,
659,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,"Wong, Gwendolyn K. L.; Jim, C. Y.",LANDSCAPE ECOLOGY,2018,,,,,,,,,,,,,,,,,,,,
660,"Oil and gas development footprint in the Piceance Basin, western Colorado","Martinez, Cericia; Preston, Todd M.",SCIENCE OF THE TOTAL ENVIRONMENT,2018,,,,,,,,,,,,,,,,,,,,
661,Ecosystem services in cities: Towards the international legal protection of ecosystem services in urban environments,"Sirakaya, Aysegul; Cliquet, An; Harris, Jim",ECOSYSTEM SERVICES,2018,,,,,,,,,,,,,,,,,,,,
662,Barriers for the ecosystem services concept in European water and nature conservation law,"Kistenkas, Frederik H.; Bouwma, Irene M.",ECOSYSTEM SERVICES,2018,,,,,,,,,,,,,,,,,,,,
663,Combining Co-Benefits and Stakeholders Perceptions into Green Infrastructure Selection for Flood Risk Reduction,"Alves, Alida; Gomez, Jose Patino; Vojinovic, Zoran; Sanchez, Arlex; Weesakul, Sutat",ENVIRONMENTS,2018,,,,,,,,,,,,,,,,,,,,
664,Soil Media CO2 and N2O Fluxes Dynamics from Sand-Based Roadside Bioretention Systems,"Shrestha, Paliza; Hurley, Stephanie E.; Adair, E. Carol",WATER,2018,,,,,,,,,,,,,,,,,,,,
665,Defining Benchmarks for Restoration of Green Infrastructure: A Case Study Combining the Historical Range of Variability of Habitat and Species' Requirements,"Manton, Michael; Angelstam, Per",SUSTAINABILITY,2018,,,,,,,,,,,,,,,,,,,,
666,Evaluating Spatial Priority of Urban Green Infrastructure for Urban Sustainability in Areas of Rapid Urbanization: A Case Study of Pukou in China,"Wei, Jiaxing; Qian, Jing; Tao, Yu; Hu, Feng; Ou, Weixin",SUSTAINABILITY,2018,,,,,,,,,,,,,,,,,,,,
667,Innovative urban forestry governance in Melbourne?: Investigating green placemaking as a nature-based solution,"Gulsrud, Natalie Marie; Hertzog, Kelly; Shears, Ian",ENVIRONMENTAL RESEARCH,2018,,,,,,,,,,,,,,,,,,,,
668,Mapping headwater systems using a HS-GIS model. An application to landscape structure and land use planning in Portugal,"Pena, Selma Beatriz; Magalhaes, Manuela Raposo; Abreu, Maria Manuela",LAND USE POLICY,2018,,,,,,,,,,,,,,,,,,,,
669,Prospects for stakeholder coordination by protected-area managers in Europe,"Mattsson, Brady J.; Vacik, Harald",CONSERVATION BIOLOGY,2018,,,,,,,,,,,,,,,,,,,,
670,Biodiversity and functional diversity of Australian stormwater biofilter plant communities,"Winfrey, Brandon K.; Hatt, Belinda E.; Ambrose, Richard F.",LANDSCAPE AND URBAN PLANNING,2018,,,,,,,,,,,,,,,,,,,,
671,"Locating provisioning ecosystem services in urban forests: Forageable woody species in New York City, USA","Hurley, Patrick T.; Emery, Marla R.",LANDSCAPE AND URBAN PLANNING,2018,,,,,,,,,,,,,,,,,,,,
672,EVALUATING URBAN FORESTS CONNECTIVITY IN RELATION TO URBAN FUNCTIONS IN ROMANIAN CITIES,"Nita, Mihai-Razvan; Nastase, Irina-Iulia; Badiu, Denisa-Lavinia; Onose, Diana-Andreea; Gavrilidis, Athanasios-Alexandru",CARPATHIAN JOURNAL OF EARTH AND ENVIRONMENTAL SCIENCES,2018,,,,,,,,,,,,,,,,,,,,
673,An indicator of urban morphology for landscape planning in Lombardy (Italy),"Ronchi, Silvia; Salata, Stefano; Arcidiacono, Andrea",MANAGEMENT OF ENVIRONMENTAL QUALITY,2018,,,,,,,,,,,,,,,,,,,,
674,Expanding the social performance of food production landscapes: measuring health and well-being benefits,"Burke, Ellen",LANDSCAPE RESEARCH,2018,,,,,,,,,,,,,,,,,,,,
675,Open data and stormwater systems in Los Angeles: applications for equitable green infrastructure,"Porse, Erik",LOCAL ENVIRONMENT,2018,,,,,,,,,,,,,,,,,,,,
676,Implementation of the ecosystem services approach in Swedish municipal planning,"Schubert, Per; Ekelund, Nils G. A.; Beery, Thomas H.; Wamsler, Christine; Jonsson, K. Ingemar; Roth, Andreas; Stalhammar, Sanna; Bramryd, Torleif; Johansson, Michael; Palo, Thomas",JOURNAL OF ENVIRONMENTAL POLICY & PLANNING,2018,,,,,,,,,,,,,,,,,,,,
677,Degradation of the urban ecosystem function due to soil sealing: involvement in the heat island phenomenon and hydrologic cycle in the Tokyo metropolitan area,"Murata, Tomoyoshi; Kawai, Nobuo",SOIL SCIENCE AND PLANT NUTRITION,2018,,,,,,,,,,,,,,,,,,,,
678,REGIONAL GREEN BELTS IN THE RUHR REGION A PLANNING CONCEPT REVISITED IN VIEW OF ECOSYSTEM SERVICES,"Zepp, Harald",ERDKUNDE,2018,,,,,,,,,,,,,,,,,,,,
679,Local habitat characteristics have a stronger effect than the surrounding urban landscape on beetle communities on green roofs,"Kyro, Kukka; Brenneisen, Stephan; Kotze, D. Johan; Szallies, Alexander; Gerner, Magdalena; Lehvavirta, Susanna",URBAN FORESTRY & URBAN GREENING,2018,,,,,,,,,,,,,,,,,,,,
680,Factors driving natural regeneration beneath a planted urban forest,"Doroski, Danica A.; Felson, Alexander J.; Bradford, Mark A.; Ashton, Mark P.; Oldfield, Emily E.; Hallett, Richard A.; Kuebbing, Sara E.",URBAN FORESTRY & URBAN GREENING,2018,,,,,,,,,,,,,,,,,,,,
681,Knoxville's urban wilderness: Moving toward sustainable multifunctional management,"Zefferman, Emily P.; McKinney, Michael L.; Cianciolo, Thomas; Fritz, Bridgette I.",URBAN FORESTRY & URBAN GREENING,2018,,,,,,,,,,,,,,,,,,,,
682,An Approach to Evaluate Comprehensive Plan and Identify Priority Lands for Future Land Use Development to Conserve More Ecological Values,"Zhou, Long; Wu, Yao; Woodfin, Tom; Zhu, Rong; Chen, Tian",SUSTAINABILITY,2018,,,,,,,,,,,,,,,,,,,,
683,This Port Is Killing People: Sustainability without Justice in the Neo-Keynesian Green City,"De Lara, Juan",ANNALS OF THE AMERICAN ASSOCIATION OF GEOGRAPHERS,2018,,,,,,,,,,,,,,,,,,,,
684,Identifying Green Infrastructure as a Basis for an Incentive Mechanism at the Municipality Level in Biscay (Basque Country),"Rodriguez-Loinaz, Gloria; Pena, Lorena; Palacios-Agundez, Igone; Ametzaga-Arregi, Ibone; Onaindia, Miren",FORESTS,2018,,,,,,,,,,,,,,,,,,,,
685,The Effects of Coastal Dune Volume and Vegetation on Storm-Induced Property Damage: Analysis from Hurricane Ike,"Sigren, Jacob M.; Figlus, Jens; Highfield, Wesley; Feagin, Rusty A.; Armitage, Anna R.",JOURNAL OF COASTAL RESEARCH,2018,,,,,,,,,,,,,,,,,,,,
686,"Exploring the concept of green infrastructure in urban landscape. Experiences from Italy, Canada and Finland","di Marino, Mina; Lapintie, Kimmo",LANDSCAPE RESEARCH,2018,,,,,,,,,,,,,,,,,,,,
687,Urbanization in Africa: challenges and opportunities for conservation,"Guneralp, Burak; Lwasa, Shuaib; Masundire, Hillary; Parnell, Susan; Seto, Karen C.",ENVIRONMENTAL RESEARCH LETTERS,2018,,,,,,,,,,,,,,,,,,,,
688,Retrofitting urban drainage infrastructure: green or grey?,"Dolowitz, David Peter; Bell, Sarah; Keeley, Melissa",URBAN WATER JOURNAL,2018,,,,,,,,,,,,,,,,,,,,
689,"Using local knowledge and sustainable transport to promote a greener city The case of Bucharest, Romania","Nita, Mihai R.; Badiu, Denisa L.; Onose, Diana A.; Gavrilidis, Athanasios A.; Gradinaru, Simona R.; Nastase, Irina I.; Lafortezza, Raffaele",ENVIRONMENTAL RESEARCH,2018,,,,,,,,,,,,,,,,,,,,
690,Ecosystem services: Urban parks under a magnifying glass,"Mexia, Teresa; Vieira, Joana; Principe, Adriana; Anjos, Andreia; Silva, Patricia; Lopes, Nuno; Freitas, Catarina; Santos-Reis, Margarida; Correia, Otilia; Branquinho, Cristina; Pinho, Pedro",ENVIRONMENTAL RESEARCH,2018,,,,,,,,,,,,,,,,,,,,
691,Are Romanian urban strategies planning for green?,"Nita, Mihai-Razvan; Anghel, Ana-Maria; Banescu, Cristina; Munteanu, Ana-Maria; Pesamosca, Sabina-Stella; Zetu, Mihut; Popa, Ana-Maria",EUROPEAN PLANNING STUDIES,2018,,,,,,,,,,,,,,,,,,,,
692,Integrating the ecosystem-based approach into municipal climate adaptation strategies: The case of Germany,"Zoelch, Teresa; Wamsler, Christine; Pauleit, Stephan",JOURNAL OF CLEANER PRODUCTION,2018,,,,,,,,,,,,,,,,,,,,
693,Rooftop farming on urban waste provides many ecosystem services,"Grard, Baptiste J. -P.; Chenu, Claire; Manouchehri, Nastaran; Houot, Sabine; Frascaria-Lacoste, Nathalie; Aubry, Christine",AGRONOMY FOR SUSTAINABLE DEVELOPMENT,2017,,,,,,,,,,,,,,,,,,,,
694,Spatial Evaluation of Multiple Benefits to Encourage Multi-Functional Design of Sustainable Drainage in Blue-Green Cities,"Andrew, Richard Fenner",WATER,2017,,,,,,,,,,,,,,,,,,,,
695,Assessing Land Use-Cover Changes and Modelling Change Scenarios in Two Mountain Spanish National Parks,"Martinez-Vega, Javier; Diaz, Andres; Miguel Nava, Jose; Gallardo, Marta; Echavarria, Pilar",ENVIRONMENTS,2017,,,,,,,,,,,,,,,,,,,,
696,Exploring the impact of green space health on runoff reduction using NDVI,"Kim, Hyun Woo; Kim, Jun-Hyun; Li, Wei; Yang, Ping; Cao, Yang",URBAN FORESTRY & URBAN GREENING,2017,,,,,,,,,,,,,,,,,,,,
697,Biases of acoustic indices measuring biodiversity in urban areas,"Fairbrass, Alison J.; Rennett, Peter; Williams, Carol; Titheridge, Helena; Jones, Kate E.",ECOLOGICAL INDICATORS,2017,,,,,,,,,,,,,,,,,,,,
698,Evidence of exceptional oyster-reef resilience to fluctuations in sea level,"Ridge, Justin T.; Rodriguez, Antonio B.; Fodrie, F. Joel",ECOLOGY AND EVOLUTION,2017,,,,,,,,,,,,,,,,,,,,
699,How to preserve a butterfly species within an urbanising settlement and its surroundings: a study of the scarce copper (Lycaena virgaureae L.) in southern Sweden,"Haaland, Christine",JOURNAL OF INSECT CONSERVATION,2017,,,,,,,,,,,,,,,,,,,,
700,Analysing urban green space accessibility and quality: A GIS-based model as spatial decision support for urban ecosystem services in Brussels,"Stessens, Philip; Khan, Ahmed Z.; Huysmans, Marijke; Canters, Frank",ECOSYSTEM SERVICES,2017,,,,,,,,,,,,,,,,,,,,
701,"Non-native species in urban environments: patterns, processes, impacts and challenges","Gaertner, Mirijam; Wilson, John R. U.; Cadotte, Marc W.; MacIvor, J. Scott; Zenni, Rafael D.; Richardson, David M.",BIOLOGICAL INVASIONS,2017,,,,,,,,,,,,,,,,,,,,
702,The low-entropy city: A thermodynamic approach to reconnect urban systems with nature,"Pelorosso, R.; Gobattoni, F.; Leone, A.",LANDSCAPE AND URBAN PLANNING,2017,,,,,,,,,,,,,,,,,,,,
703,The rice cities of the Khmer Rouge: an urban political ecology of rural mass violence,"Rice, Stian; Tyner, James",TRANSACTIONS OF THE INSTITUTE OF BRITISH GEOGRAPHERS,2017,,,,,,,,,,,,,,,,,,,,
704,Understanding Perceptions of Plant Landscaping in LID: Seeking a Sustainable Design and Management Strategy,"Shi, Yan; Wu, Renwu; Chen, Meiai; Jin, Hexian; Bao, Zhiyi; Yan, Hai; Yang, Fan",JOURNAL OF SUSTAINABLE WATER IN THE BUILT ENVIRONMENT,2017,,,,,,,,,,,,,,,,,,,,
705,"Planting Waterscapes: Green Infrastructures, Landscape and Hydrological Modeling for the Future of Santa Cruz de la Sierra, Bolivia","Castelli, Giulio; Foderi, Cristiano; Guzman, Boris Hinojosa; Ossoli, Lorenzo; Kempff, Yandery; Bresci, Elena; Salbitano, Fabio",FORESTS,2017,,,,,,,,,,,,,,,,,,,,
706,"Improving models of urban greenspace: from vegetation surface cover to volumetric survey, using waveform laser scanning","Casalegno, Stefano; Anderson, Karen; Hancock, Steven; Gaston, Kevin J.",METHODS IN ECOLOGY AND EVOLUTION,2017,,,,,,,,,,,,,,,,,,,,
707,Natural Assurance Scheme: A level playing field framework for Green-Grey infrastructure development,"Denjean, Benjamin; Altamirano, Monica A.; Graveline, Nina; Giordano, Raffaele; van der Keur, Peter; Moncoulon, David; Weinberg, Josh; Costa, Maria Manez; Kozinc, Zdravko; Mulligan, Mark; Pengal, Polona; Matthews, John; van Cauwenbergh, Nora; Gunn, Elena Lopez; Bresch, David N.",ENVIRONMENTAL RESEARCH,2017,,,,,,,,,,,,,,,,,,,,
708,"Nature-Based Solutions in the EU: Innovating with nature to address social, economic and environmental challenges","Faivre, Nicolas; Fritz, Marco; Freitas, Tiago; de Boissezon, Birgit; Vandewoestijne, Sofie",ENVIRONMENTAL RESEARCH,2017,,,,,,,,,,,,,,,,,,,,
709,The role of dairy company policies in support of farm green infrastructure in the absence of government stewardship payments,"McWilliam, Wendy; Balzarova, Michaela",LAND USE POLICY,2017,,,,,,,,,,,,,,,,,,,,
710,Green infrastructure maintenance is more than land cover: Large herbivores limit recruitment of key-stone tree species in Sweden,"Angelstam, Per; Pedersen, Simen; Manton, Michael; Garrido, Pablo; Naumov, Vladimir; Elbakidze, Marine",LANDSCAPE AND URBAN PLANNING,2017,,,,,,,,,,,,,,,,,,,,
711,Developing an ecosystem model of a floating wetland for water quality improvement on a stormwater pond,"McAndrew, Brendan; Ahn, Changwoo",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2017,,,,,,,,,,,,,,,,,,,,
712,The dynamics and conservation of forest ecosystems in Bucharest Metropolitan Area,"Grigorescu, Ines; Geacu, Sorin",URBAN FORESTRY & URBAN GREENING,2017,,,,,,,,,,,,,,,,,,,,
713,"Spatial accessibility of country parks in Shanghai, China","Gu, Xiaokun; Tao, Siyuan; Dai, Bing",URBAN FORESTRY & URBAN GREENING,2017,,,,,,,,,,,,,,,,,,,,
714,Sustainability,"Chang, Chein-Chi; DiGiovanni, Kimberly; Mei, Ying",WATER ENVIRONMENT RESEARCH,2017,,,,,,,,,,,,,,,,,,,,
715,Vegetation cover change in growing urban agglomerations in Chile,"de la Barrera, Francisco; Henriquez, Cristian",ECOLOGICAL INDICATORS,2017,,,,,,,,,,,,,,,,,,,,
716,Characteristic Rain Events: A Methodology for Improving the Amenity Value of Stormwater Control Measures,"Andersen, Jonas Smit; Lerer, Sara Maria; Backhaus, Antje; Jensen, Marina Bergen; Sorup, Hjalte Jomo Danielsen",SUSTAINABILITY,2017,,,,,,,,,,,,,,,,,,,,
717,Investing in ecological infrastructure in South Africa,"Kubiszewski, Ida; Marais, Christo; Costanza, Robert",ECOSYSTEM SERVICES,2017,,,,,,,,,,,,,,,,,,,,
718,The effects of green infrastructure on exceedance of critical shear stress in Blunn Creek watershed,"Shannak, Sa'd",APPLIED WATER SCIENCE,2017,,,,,,,,,,,,,,,,,,,,
719,Going green? Ex-post valuation of a multipurpose water infrastructure in Northern Italy,"Reynaud, Arnaud; Lanzanova, Denis; Liquete, Camino; Grizzetti, Bruna",ECOSYSTEM SERVICES,2017,,,,,,,,,,,,,,,,,,,,
720,Assessing the Economic Contributions and Benefits of Consumer Horticulture,"Bradley, Lucy K.; Behe, Bridget K.; Bumgarner, Natalie R.; Glen, Charlotte D.; Donaldson, Joseph L.; Bauske, Ellen M.; Dorn, Sheri; Langellotto, Gail",HORTTECHNOLOGY,2017,,,,,,,,,,,,,,,,,,,,
721,"A spatial framework for targeting urban planning for pollinators and people with local stakeholders: A route to healthy, blossoming communities?","Bellamy, Chloe C.; van der Jagt, Alexander P. N.; Barbour, Shelley; Smith, Mike; Moseley, Darren",ENVIRONMENTAL RESEARCH,2017,,,,,,,,,,,,,,,,,,,,
722,Re-defining the characteristics of environmental volunteering: Creating a typology of community-scale green infrastructure,"Jerome, Gemma; Mell, Ian; Shaw, Dave",ENVIRONMENTAL RESEARCH,2017,,,,,,,,,,,,,,,,,,,,
723,The Ecological Security Pattern and Its Constraint on Urban Expansion of a Black Soil Farming Area in Northeast China,"Liu, Shuhan; Wang, Dongyan; Li, Hong; Li, Wenbo; Wu, Wenjun; Zhu, Yuanli",ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION,2017,,,,,,,,,,,,,,,,,,,,
724,URBAN GREEN NETWORK DESIGN DEFINING GREEN NETWORK FROM AN URBAN PLANNING PERSPECTIVE,"Tulisi, Andrea",TEMA-JOURNAL OF LAND USE MOBILITY AND ENVIRONMENT,2017,,,,,,,,,,,,,,,,,,,,
725,A Geospatial Approach for Identifying and Exploring Potential Natural Water Storage Sites,"Holmes, Danika; McEvoy, Jamie; Dixon, Jean L.; Payne, Scott",WATER,2017,,,,,,,,,,,,,,,,,,,,
726,"Are denser cities greener? Evidence from China, 2000-2010","Wang, Rui; Yuan, Quan",NATURAL RESOURCES FORUM,2017,,,,,,,,,,,,,,,,,,,,
727,VARIABILITY AND BALANCE OF CROWN PROJECTION OF TREES PLANTED ON SIDEWALKS OF THREE BRAZILIAN CITIES,"Bobrowski, Rogerio; Zamproni, Kendra; Botelho de Carvalho Maria, Tamara Ribeiro; Biondi, Daniela",CERNE,2017,,,,,,,,,,,,,,,,,,,,
728,"Population size and development history determine street tree distribution and composition within and between Eastern Cape towns, South Africa","Gwedla, Nanamhla; Shackleton, Charlie M.",URBAN FORESTRY & URBAN GREENING,2017,,,,,,,,,,,,,,,,,,,,
729,Financing High Performance Climate Adaptation in Agriculture: Climate Bonds for Multi-Functional Water Harvesting Infrastructure on the Canadian Prairies,"Lazurko, Anita; Venema, Henry David",SUSTAINABILITY,2017,,,,,,,,,,,,,,,,,,,,
730,Building the Green Infrastructure of Belgrade: The Importance of Community Greening,"Simic, Ivan; Stupar, Aleksandra; Djokic, Vladan",SUSTAINABILITY,2017,,,,,,,,,,,,,,,,,,,,
731,GEOTECHNICAL REQUIREMENTS FOR CAPTURING CO2 THROUGH HIGHWAYS LAND,"Jorat, M. Ehsan; Kolosz, Ben W.; Goddard, Mark A.; Sohi, Saran P.; Akgun, Nurten; Dissanayake, Dilum; Manning, David A. C.",INTERNATIONAL JOURNAL OF GEOMATE,2017,,,,,,,,,,,,,,,,,,,,
732,Challenges for tree officers to enhance the provision of regulating ecosystem services from urban forests,"Davies, Helen J.; Doick, Kieron J.; Hudson, Malcolm D.; Schreckenberg, Kate",ENVIRONMENTAL RESEARCH,2017,,,,,,,,,,,,,,,,,,,,
733,"THE VACARESTI LAKE PROTECTED AREA, A NEVERENDING DEBATABLE ISSUE?","Merciu, Florentina-Cristina; Sirodoev, Igor; Merciu, George; Zamfir, Daniela; Schvab, Andrei; Stoica, Ilinca-Valentina; Paraschiv, Mirela; Saghin, Irina; Cercleux, Andreea-Loreta; Vaidianu, Natasa; Ianos, Ioan",CARPATHIAN JOURNAL OF EARTH AND ENVIRONMENTAL SCIENCES,2017,,,,,,,,,,,,,,,,,,,,
734,FOOD PRODUCTION ON A LIVING WALL: PILOT STUDY,"Nagle, Lara; Echols, Stuart; Tamminga, Ken",JOURNAL OF GREEN BUILDING,2017,,,,,,,,,,,,,,,,,,,,
735,Infrastructure and institutions: Stakeholder perspectives of stormwater governance in Chicago,"Cousins, Joshua J.",CITIES,2017,,,,,,,,,,,,,,,,,,,,
736,Water masses surface temperatures assessment and their effect on surrounding environment,"Calheiros, Cristina S. C.; Barreira, Eva; Ramos, Nuno M. M.; Castro, Paula M. L.",WATER SCIENCE AND TECHNOLOGY,2017,,,,,,,,,,,,,,,,,,,,
737,Wetlands and buffer zones in watershed management,"Mander, Ulo; Tournebize, Julien; Sauvage, Sabine; Sanchez-Perez, Jose Miguel",ECOLOGICAL ENGINEERING,2017,,,,,,,,,,,,,,,,,,,,
738,Methods of establishing species-rich meadow biotopes in urban areas,"Martensson, Linda-Maria",ECOLOGICAL ENGINEERING,2017,,,,,,,,,,,,,,,,,,,,
739,The distribution of green walls and green roofs throughout Australia: Do policy instruments influence the frequency of projects?,"Irga, P. J.; Braun, J. T.; Douglas, A. N. J.; Pettit, T.; Fujiwara, S.; Burchett, M. D.; Torpy, F. R.",URBAN FORESTRY & URBAN GREENING,2017,,,,,,,,,,,,,,,,,,,,
740,Methodological and empirical considerations when assessing freshwater ecosystem service provision in a developing city context: Making the best of what we have,"Brill, Gregg; Anderson, Pippin; O'Farrell, Patrick",ECOLOGICAL INDICATORS,2017,,,,,,,,,,,,,,,,,,,,
741,A Preliminary Study on Connectivity and Perceived Values of Community Green Spaces,"Park, Sohyun",SUSTAINABILITY,2017,,,,,,,,,,,,,,,,,,,,
742,Redevelopment and the urban forest: A study of tree removal and retention during demolition activities,"Morgenroth, Justin; -Dunne, Jarlath O'Neil; Apiolaza, Luis A.",APPLIED GEOGRAPHY,2017,,,,,,,,,,,,,,,,,,,,
743,Lake and wetland ecosystem services measuring water storage and local climate regulation,"Wong, Christina P.; Jiang, Bo; Bohn, Theodore J.; Lee, Kai N.; Lettenmaier, Dennis P.; Ma, Dongchun; Ouyang, Zhiyun",WATER RESOURCES RESEARCH,2017,,,,,,,,,,,,,,,,,,,,
744,ADVANCING GREEN INFRASTRUCTURE AND ECOSYSTEM SERVICES THROUGH THE SITES RATING SYSTEM,"Pieranunzi, Danielle; Steiner, Frederick R.; Rieff, Susan",LANDSCAPE ARCHITECTURE FRONTIERS,2017,,,,,,,,,,,,,,,,,,,,
745,FUTURE OF ALLOTMENT GARDENS IN THE CONTEXT OF CITY SPATIAL POLICY - A CASE STUDY OF POZNAN,"Ponizy, Lidia; Stachura, Kamila",QUAESTIONES GEOGRAPHICAE,2017,,,,,,,,,,,,,,,,,,,,
746,Comparison of the current state of non-forest woody vegetation in two contrasted case study areas in Central Europe,"Demkova, Katarina; Lipsky, Zdenek",MORAVIAN GEOGRAPHICAL REPORTS,2017,,,,,,,,,,,,,,,,,,,,
747,Longitudinal analysis of ecosystem services' socioeconomic benefits: Wastewater treatment projects in a desert city,"Hagen, Bjoern; Pijawka, David; Prakash, Mihir; Sharma, Shreyash",ECOSYSTEM SERVICES,2017,,,,,,,,,,,,,,,,,,,,
748,"Socio-Cultural Asset Integration for a Green Infrastructure Network Plan in Yesan County, Korea","Orantes, Maria Jose Carranza; Kim, Jinki; Kim, Jiseok",SUSTAINABILITY,2017,,,,,,,,,,,,,,,,,,,,
749,"Green infrastructure: reflections on past, present and future praxis","Mell, Ian C.",LANDSCAPE RESEARCH,2017,,,,,,,,,,,,,,,,,,,,
750,"Carbon, Harvest Yields, and Residues from Restoration in a Mixed Forest on California's Coast Range","Berrill, John-Pascal; Han, Han-Sup",FOREST SCIENCE,2017,,,,,,,,,,,,,,,,,,,,
751,Verification of Green Infrastructure Sustainability in the Bluebelt Using Envision,"Venner, I.; Zuberbuhler-Yafar, Sofia","INTERNATIONAL CONFERENCE ON SUSTAINABLE INFRASTRUCTURE 2017: POLICY, FINANCE, AND EDUCATION",2017,,,,,,,,,,,,,,,,,,,,
752,Financing Sustainable Infrastructure: Reconciling Disaster and Traditional Financial Resources,"Zimmerman, Rae","INTERNATIONAL CONFERENCE ON SUSTAINABLE INFRASTRUCTURE 2017: POLICY, FINANCE, AND EDUCATION",2017,,,,,,,,,,,,,,,,,,,,
753,An Integrated Methodology Model for Smart Mobility System applied to Sustainable Tourism,"Roda, Massimiliano; Giorgi, Davide; Joime, Gian Piero; Anniballi, Luigi; London, Marco; Paschero, Maurizio; Mascioli, Fabio Massimo Frattale",2017 IEEE 3RD INTERNATIONAL FORUM ON RESEARCH AND TECHNOLOGIES FOR SOCIETY AND INDUSTRY (RTSI),2017,,,,,,,,,,,,,,,,,,,,
754,Howard Beach Flood Risk Reduction Study: Valuing Nature's Role,"Goldstick, Jonathan; Kealy, Mary Jo; Maxwell, Emily Nobel; Allemen, Lauren; Carrera, Joshua; Smith, Elizabeth C.",INTERNATIONAL CONFERENCE ON SUSTAINABLE INFRASTRUCTURE 2017: METHODOLOGY,2017,,,,,,,,,,,,,,,,,,,,
755,Cultural Ecosystem Services of Urban Green Spaces-Supply and Demand in The Densely Built-Up Areas. Poznan Old Town Case Study,"Ponizy, Lidia; Majchrzak, Weronika; Zwierzchowska, Iwona",WORLD MULTIDISCIPLINARY EARTH SCIENCES SYMPOSIUM (WMESS 2017),2017,,,,,,,,,,,,,,,,,,,,
756,Developing Green Infrastructure in a Johannesburg Informal Settlement: Investigating residents' willingness to pay,"Adegun, Olumuyiwa",URBAN TRANSITIONS CONFERENCE,2017,,,,,,,,,,,,,,,,,,,,
757,Resilience in Latin American cities: behaviour vs. space quality in the riverbanks of the Tomebamba River,"Hermida, M. Augusta; Neira, Mateo; Cabrera-Jara, Natasha; Osorio, Pablo",URBAN TRANSITIONS CONFERENCE,2017,,,,,,,,,,,,,,,,,,,,
758,Influence of three types of boundary on the level of greenspace in cities,"Wang, Hongbing; Qin, Jun; Hu, Yonghong",URBAN TRANSITIONS CONFERENCE,2017,,,,,,,,,,,,,,,,,,,,
759,A street for hope: new functions for the landscape of car,"Moura, N. C. B.; Wehmann, H. E.; Muniz, A.",URBAN TRANSITIONS CONFERENCE,2017,,,,,,,,,,,,,,,,,,,,
760,"Seeing the (urban) forest through the trees: governance and household trees in Niamey, Niger","Hungerford, Hilary; Moussa, Yaye",AFRICAN GEOGRAPHICAL REVIEW,2017,,,,,,,,,,,,,,,,,,,,
761,"City trees: Growth, functions and services - risks and research prospects","Moser, Astrid; Roetzer, Thomas; Pauleit, Stephan; Pretzsch, Hans",ALLGEMEINE FORST UND JAGDZEITUNG,2017,,,,,,,,,,,,,,,,,,,,
762,The Role Of Wetland Ecosystems To Reduce The Concentration Of Nitrate In Groundwater,"Sutrisno, A. J.; Han, Z.; Satake, S.; Fukumoto, K.",2ND INTERNATIONAL SYMPOSIUM FOR SUSTAINABLE LANDSCAPE DEVELOPMENT,2017,,,,,,,,,,,,,,,,,,,,
763,Strategic green infrastructure planning in Germany and the UK: a transnational evaluation of the evolution of urban greening policy and practice,"Mell, Ian; Allin, Simone; Reimer, Mario; Wilker, Jost",INTERNATIONAL PLANNING STUDIES,2017,,,,,,,,,,,,,,,,,,,,
764,Study on the Construction of Sponge City in Shenyang: A Case Study of Sponge Campus Reconstruction in Shenyang Jianzhu University,"Wang, Qiufei; Tang, Bingjie; Shi, Dan",ICCREM 2017: PROJECT MANAGEMENT AND CONSTRUCTION TECHNOLOGY,2017,,,,,,,,,,,,,,,,,,,,
765,"A Framework for Multifunctional Green Infrastructure Investment in Camden, NJ","Zidar, Kate; Belliveau-Nance, Maryse; Cucchi, Anthony; Denk, Danielle; Kricun, Andrew; O'Rourke, Shaun; Rahman, Shudipto; Rangarajan, Sri; Rothstein, Eric; Shih, Justin; Montalto, Franco",URBAN PLANNING,2017,,,,,,,,,,,,,,,,,,,,
766,Determination of the ecological connectivity between landscape patches obtained using the knowledge engineer (expert) classification technique,"Selim, Serdar; Sonmez, Namik Kemal; Onur, Isin; Coslu, Mesut","REMOTE SENSING FOR AGRICULTURE, ECOSYSTEMS, AND HYDROLOGY XIX",2017,,,,,,,,,,,,,,,,,,,,
