Sample # - this is the number of the sample collected in a trap during the time period covered in column C,Box # - this is the number on the box in which these vials of insects are contained,Date - this is the time period during which invertebrates were trapped for this sample,"ID - this is the location in the box for this vial, row A, column 1",Location - this is the location where the sample was collected (NHMU: Natural History Museum of Utah; Marr Lib: Marriot Library at the University of Utah),Roof/Ground - this is where the traps were located at each location (Ground: at ground level; roof: on the green roof),Combi/Pitfall - this is the type of trap used to collect the sample (Combi: combination trap that catches aerial invertebrate; Pitfall: pitfall trap that catches ground crawling invertebrates),Order - this is the taxonomic order of the collected invertebrates),Family - this is the taxonomic family of the invertebrates collected,Pollinator - this is whether or not the invertebrate is a known pollinator (Yes) or not (No),Amount - this is the number of each invertebrate of this morphospecies in the sample,Notes:,
117,4,7/2-7/22,B1,Marr Lib,Ground,Pitfall,Araneae,Spider,No,28,Assorted Spiders,
118,4,7/2-7/22,B2,Marr Lib,Ground,Pitfall,Isopoda,Armadillidiidae,No,31,Common pill bug,
119,4,7/2-7/22,B3,Marr Lib,Ground,Pitfall,Mantodea ,Mantidae ,,1,Praying Mantis ,
119,4,7/2-7/22,B3,Marr Lib,Ground,Pitfall,Hemiptera,Pentatomidae,No,1,Stink bug,
119,4,7/2-7/22,B3,Marr Lib,Ground,Pitfall,Hemiptera,Pentatomidae,No,1,Chinavia hilaris-Green stink bug,
119,4,7/2-7/22,B3,Marr Lib,Ground,Pitfall,Coleoptera,Elateridae,No,1,Click beetles  ,
119,4,7/2-7/22,B3,Marr Lib,Ground,Pitfall,Trichoptera,Limnephilidae,No,1,Tan moth ,
119,4,7/2-7/22,B3,Marr Lib,Ground,Pitfall,ÿColeoptera,,No,1,Darkling beetle ,
120,4,7/2-7/22,B4,Marr Lib,Ground,Pitfall,Coleoptera,Elateridae,No,6,"Brown click beetles (Conoderus tabidus)- have flatish bodies, head seems like the same segment ",
120,4,7/2-7/22,B4,Marr Lib,Ground,Pitfall,Hemiptera,Pentatomidae,No,1,Green stink bug ,
120,4,7/2-7/22,B4,Marr Lib,Ground,Pitfall,Coleoptera,Meloidae,No,1,Blister beetle ,
120,4,7/2-7/22,B4,Marr Lib,Ground,Pitfall,Dermaptera,Labiduridae,No,1,Ring legged earwig,
121,4,7/2-7/22,B5,Marr Lib,Ground,Pitfall,Araneae,Spider,No,3,Assorted Spiders,
121,4,7/2-7/22,B5,Marr Lib,Ground,Pitfall,Dermaptera,Labiduridae,No,2,Ringlegeed earwig,
121,4,7/2-7/22,B5,Marr Lib,Ground,Pitfall,Diptera,Muscidae,No,2,Common house fly ,
121,4,7/2-7/22,B5,Marr Lib,Ground,Pitfall,Hymenoptera,Formicidae,No,1,Red pavement ant ,
121,4,7/2-7/22,B5,Marr Lib,Ground,Pitfall,Coleoptera,Histeridae,No,2,Hister beetle - small rounded ,
121,4,7/2-7/22,B5,Marr Lib,Ground,Pitfall,Coleoptera,Cantharidae,No,1,Soilder beetle - orange on wings ,
121,4,7/2-7/22,B5,Marr Lib,Ground,Pitfall,Trichoptera,Limnephilidae,No,12,Small tan moth ,
121,4,7/2-7/22,B5,Marr Lib,Ground,Pitfall,Hymenoptera,Formicidae,No,1,Red pavement ant swarmer ,
122,4,7/2-7/22,C1,NHMU,Ground,Pitfall,Araneae,Spider,No,70,Assorted Spiders,
123,4,7/2-7/22,C2,NHMU,Ground,Pitfall,Dermaptera,Labiduridae,No,59,Ring legged earwig ,
123,4,7/2-7/22,C2,NHMU,Ground,Pitfall,Trichoptera,Limnephilidae,No,1,Small tan moth ,
124,4,7/2-7/22,C3,NHMU,Ground,Pitfall,Isopoda,Armadillidiidae,No,52,Common pill bug,
124,4,7/2-7/22,C3,NHMU,Ground,Pitfall,Dermaptera,Labiduridae,No,1,Ring legged earwig,
124,4,7/2-7/22,C3,NHMU,Ground,Pitfall,Araneae,Spider,No,1,spider - very small (red),
125,4,7/2-7/22,C4,NHMU,Ground,Pitfall,Lepidoptera,Noctuidae,No,3,Forage Looper Moth ,
125,4,7/2-7/22,C4,NHMU,Ground,Pitfall,Coleoptera,Cantharidae,No,3,"Soilder beetle - orange on wings, small ",
125,4,7/2-7/22,C4,NHMU,Ground,Pitfall,Coleoptera,Elateridae,No,1,"Brown click beetles (Conoderus tabidus)- have flatish bodies, head seems like the same segment ",
125,4,7/2-7/22,C4,NHMU,Ground,Pitfall,,,,,"Red, looks like a grasshopper ",
125,4,7/2-7/22,C4,NHMU,Ground,Pitfall,Trichoptera,Limnephilidae,No,2,Small tan moth - skinny wings ,
125,4,7/2-7/22,C4,NHMU,Ground,Pitfall,Coleoptera,Cerambycidae,No,1,"Possibly White-Spotted Sawyer Beetle, but it's very small ",
126,4,7/2-7/22,C5,NHMU,Ground,Pitfall,Diptera,Muscidae,No,5,Common house fly - red eyes ,
