Bee data from Threlfall et al Journal of Applied Ecology 'Increasing biodiversity in urban green spaces through simple vegetation interventions',,,,,
For data collection methods see above paper.,,,,,
"spp = species. Point = green space site (n=39). Rep = plot within each green space. Season = spring and summer sampling seasons as  detailed in the paper. Homalictus (Homalictus) complex: punctatus, brisbanensis and megastigmus",,,,,
Plot,point,rep,spp,Season,occ
12RG01,RG012,5,"""Lasioglossum (Chilalictus) brunnesetum""",2,1
12RG02,RG012,6,"""Lasioglossum (Chilalictus) brunnesetum""",2,1
13RG03,RG013,7,"""Lasioglossum (Chilalictus) brunnesetum""",2,1
02UP01,UP002,1,"""Lasioglossum (Chilalictus) brunnesetum""",1,1
02UP02,UP002,2,"""Lasioglossum (Chilalictus) brunnesetum""",1,1
02UP01,UP002,3,"""Lasioglossum (Chilalictus) brunnesetum""",2,1
03UP01,UP003,1,"""Lasioglossum (Chilalictus) brunnesetum""",1,1
04UP02,UP004,2,"""Lasioglossum (Chilalictus) brunnesetum""",1,1
07UP02,UP007,2,"""Lasioglossum (Chilalictus) brunnesetum""",1,1
08UP01,UP008,3,"""Lasioglossum (Chilalictus) brunnesetum""",2,1
09UP01,UP009,1,"""Lasioglossum (Chilalictus) brunnesetum""",1,1
09UP02,UP009,2,"""Lasioglossum (Chilalictus) brunnesetum""",1,1
10UP02,UP010,4,"""Lasioglossum (Chilalictus) brunnesetum""",2,1
12UP01,UP012,1,"""Lasioglossum (Chilalictus) brunnesetum""",1,1
08GC04,GC008,8,"""Pachyprosopis kelleyi""",2,1
04UP02,UP004,4,"""Pachyprosopis kelleyi""",2,1
09UP02,UP009,4,"""Pachyprosopis kelleyi""",2,1
