Sites,Site name,Green space type,City,Size (m2),Latitude,Longitude,city,Habitats,method,Season,L.ISAWZUM,L.MICHIGANENSIS,L.ASTERIS,L.SAGAX,L.LAEVISSIMUM,L.LEUCOCOMUM,L.LINEATULUM,L.CRESSONII,L.TEGULAREA,L.IMITATUM,L.EPHIALTUM,L.PILOSUM,L.VERSATUM,L.HITCHENSI,L.TAYLOREA,L.VERSANS,L.SUBVERSANS,L.SMILACINAE,L.NIGROVIRIDE,L.ABANCI,L.PLANATUM,L.DREISBACHI,L.VIRIDATUM,L.OBLONGUM,L.TRIGEMINUM,L.ZEPHYRUM,L.TENAX,L.COERULUM,L.HETEROGNATUM,L.PARADMIRANTUM,L.PERPUNCTATUM,L.CEPHALOTES,L.BIRKMANNI,L.MACOUPINENSIS,L.FOXII,L.INCONDIDUM,L.COMAGENENSE,L.ATHABACENSE,L.CORIACEUM,L.OENOTHARAE,L.CINCTIPES,L.QUEBECENSIS,L.ZONULUM,L.LEUCOZONIUM,H.RUBICUNDUS,H.CONFUSUS,H.LIGATUS,A.AURATA,A.PURA,A.METALLICA,A.VIRESCENS,A.TEXANA,APIS.MELLIFERA,B.IMPATIENS,B.TERRICOLA,B.GRISEOCOLLIS,B.VAGANS,B.RUFOCINCTUS,B.TERNARIUS,B.BIMACULATUS,B.FERVIDUS,B.CITRINUS,B.PERPLEXUS,B.BOREALIS,M.DESPONSA,M.TRINODIS,M.DRURIELLA,M.SUBILLATA,M.ILLATA,P.PRUINOSA,A.TERMINALIS,C.CALCARATA,C.MIKMAQUI,C.DUPLA,X.VIRGINIANA,M.INERMIS,M.FRIGIDA,M.ROTUNDATA,M.PUGNATA,M.CAMPANULAE,M.CENTUNCULARIS,M.RELATIVA,M.LATIMANUS,M.GEMULA,M.TEXANA,M.BREVIS,M.MENDICA,M.LAPPONICA,M.MELANOPHAE,A.MANICATUM,A.OBLONGATUM,A.FLORENTINUM,C.PORTERAE,C.OCTODENTATA,H.CARINATA,H.PRODUCTA,H.PILOSIFRONS,H.SPOLIATA,H.LEAVITTI,H.ANTHOCOPOIDES,O.ALBIVENTRIS,O.ATRIVENTRIS,O.LIGNARIA,O.CAERULESCENS,O.TERSULA,O.PUMILA,O.TAURUS,O.CONJUNCTA,O.SIMILLIMA,O.BUCEPHALA,C.RAPUNCULI,C.PHILADELPHI,C.CAMPANULARUM,H.MESILLAE,H.HYALINATUS,H.AFFINIS,H.MODESTUS,H.ANNULATUS,H.PUNCTATUS,H.COMMUNIS,H.LEPTOCEPHALUS,H.BASALIS,H.NELUMBONIS,C.SIMULANS,C.AMERICANA,C.ANDRENOIDES,P.PARVUS,P.RUDBECKIAE,P.ANDRENOIDES,P.OCTOMACULATA,M.NUDA,A.HIRTICINCTA,A.HIPPOTES,A.CRESSONII,A.NIVALIS,A.COMMODA,A.NIGRAE,A.CEANOTHI,A.CARLINI,A.CRATAGEI,A.WHEELERI,A.RUFOSIGNATA,A.MISERABILIS,A.MILWAUKIENSIS,A.VICINA,A.FRAGILIS,A.PLATYPARIA,A.BISALICIS,A.FRIGIDA*,A.PERPLEXA*,A.ZIZIEA,A.MANDIBULARIS*,A.GERANII,A.MORISONELLA,A.ERYTHROGASTER,A.DUNNINGI,A.PERSIMULATA,A.RUGOSA,A.ALLEGHANIENSIS,A.FORBESI,A.SIGMUNDI,A.NASSONI,A.SPIREANA,A.ROBERTSONI,A.WILKELLA,A.IMITATRIX,A.INTEGRA,A.ALGIDA,A.CLARKELLA,A.CHROMOTRICHA,A.ERIGENIAE*,A.WSCRIPTA,A.BREVIPALPIS,A.NUBECULA,A.DISTANS,A.ASTERIS,A.ERYTHRONII,A.SIMPLEX,A.REGULARIS,N.BETHUNEI,N.CRESSONII,N.MACULATA,N.DENTICULATA,N.VICINA,N.LUTHEOLOIDES,N.PARVA,N.PYGMAEA,S.RANUNCULI,S.DICHROUS,S.CLEMATIDIS,S.MANDIBULARIS,S.SOLONIS,S.CAROLINUS,S.CRESSONI,S.CONFERTUS,T.PECTORALIS,T.REGIMENATUS,T.OBLITERATUS,E.SCUTELARIS,H.CALLIOPSIDIS
JPS,Parc des Sables,Community garden,Quebec,1545,46.8214,-71.2221,QuÇbec,community garden,pan trap,2013,,1,,51,77,1,4,7,1,5,6,22,,3,,,,,,,,,,,,1,,,,,3,,2,1,,,,,3,,,,,2,5,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
JPSF,Pointe Sainte-Foy,Community garden,Quebec,9046,46.766,-71.3299,QuÇbec,community garden,pan trap,2013,,,,2,7,,,,,1,,,,2,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSD,Sapiniäre Dorion,Community garden,Quebec,2921,46.8445,-71.2403,QuÇbec,community garden,pan trap,2013,,,,9,8,,1,1,,4,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,4,2,,1,,,,,,12,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUL,UniversitÇ Laval,Community garden,Quebec,7131,46.7778,-71.2829,QuÇbec,community garden,pan trap,2013,,,,1,8,,2,1,,,,1,1,,,,,,,,,,,,,,,,,,3,,,,,,,,1,1,4,,,2,13,6,2,,,,,,,5,1,,2,2,2,3,,,,,,,1,,,,,3,6,2,,,1,,,,1,,,,5,,,,,3,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,2,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,
JVN,Versant Nord,Community garden,Quebec,3593,46.7803,-71.3206,QuÇbec,community garden,pan trap,2013,,,,3,31,,2,1,,31,,3,,1,,1,,,,,,,,,,,,,,,1,,,,2,,,,1,,2,,,,6,1,1,,,,,,1,1,,,,1,,1,,,,,1,,,,,,,4,1,1,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,1,,1,,,,1,,,,5,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
PCB,Cartier-BrÇboeuf,Nature park,Quebec,28503,46.825,-71.2403,QuÇbec,park,pan trap,2013,,,,31,159,1,21,1,4,1,5,8,,,,1,,,,,,,,,,,,,,,1,,,,,,,,5,,,,5,5,24,5,2,1,,,,,1,6,,1,,12,2,1,1,,,,2,,1,10,1,,,1,,,,,3,2,,,2,,,,1,,,1,,,,,,,,2,,,,,,1,,,,,,1,,,,,,,,4,7,,,,,,,,,,,,,1,,2,1,,7,,,,,1,2,,1,2,,,,,1,,,,,,,,,1,,1,,3,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
PBC,Bois-de-Coulonge,Nature park,Quebec,143779,46.7897,-71.2382,QuÇbec,park,pan trap,2013,,,,4,159,,10,21,,2,1,,1,1,,,,,1,,2,,,,,,,,,,3,,,,,,,,3,,,,,1,15,1,2,,1,,,,3,7,,,,3,,,,,,,,,,,,,,6,,,,9,,1,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,1,,4,,,,3,1,2,,,1,,,,,,,,,,,,,,,1,,,4,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,
PDC,Domaine Cataraqui,Nature park,Quebec,38076,46.775,-71.253,QuÇbec,park,pan trap,2013,,,,5,54,2,12,5,,,1,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,5,17,4,,1,2,,,,,13,,,,4,1,,,,,,,,,,,1,,3,1,,,,,,,,,,,,1,,,,,1,,,,,2,,,,,,1,1,,,,,,,,,1,,,,,1,14,,,1,,,,,,,,,,,,,1,,1,,,,1,1,2,,,,1,,,,,,,,,,,,,,,,,3,,,5,,,,,,1,,,,,,,,,,,,,,1,,,1,1,1,,,,,,,,,,
PPASF,Base de Plein air Sainte-Foy,Nature park,Quebec,52313,46.7911,-71.3283,QuÇbec,park,pan trap,2013,,,,16,20,5,26,17,7,7,2,44,1,,,1,,,3,,,,,1,,,,,,,6,,,,,,,,13,,4,1,3,,27,12,35,1,1,,,1,5,37,4,1,3,3,,1,2,2,,,11,,,,1,,,7,,1,,8,,,12,,,,,,,,,1,1,,,,4,,1,1,,,,,,1,2,,4,,,1,1,,,,,,,3,22,8,,,,,,,1,,,,,3,2,5,,,,,,3,1,2,2,,3,,,,,,1,,,,1,,,,,,,,,,,,4,,,1,,,,,,2,,1,,,,,,,,,,1,,11,,,,,2,,,,,,,
PPJC,Plage Jacques-Cartier,Nature park,Quebec,22584,46.7506,-71.3138,QuÇbec,park,pan trap,2013,,,,36,36,,5,3,7,2,7,1,1,1,,2,,,3,,,,,,,,,,,,3,,,4,1,,,,4,,,1,5,1,1,,,5,,,,,,1,,,,,,1,,,,,,,,,,,,3,1,5,,1,1,1,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,2,,,,,,,,,1,,3,8,,,,1,,,,,,,,,,,,2,,2,8,,6,,,4,,1,1,3,,,,1,,,,2,,,,23,1,,1,,3,,1,4,1,,,,,,,,,,,,,,2,,1,,,,,,,,2,1,,,,,,,,,
CCR,Cap-Rouge,Cemetery,Quebec,6770,46.7504,-71.3453,QuÇbec,cemetery,pan trap,2012,,,,1,13,0,4,0,0,1,0,0,0,0,,0,,,0,0,0,,,,,,,,,,0,,,0,,,,,4,,0,0,0,2,4,0,3,0,2,,,,0,2,0,0,0,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,0,,,,1,0,,,0,,0,0,0,,,,0,0,,,,,,,,,2,,,,0,1,2,0,,0,,0,,0,0,,,,,,,0,0,0,0,1,,0,,,0,,,,,,,,,,0,,,,,,,,,0,,,,,1,,0,,,,,,,,,,,,,0,,,0,,0,,,,,,,,,,,,,,,
CDB,Notre-Dame-de-Belmont,Cemetery,Quebec,92328,46.7903,-71.2787,QuÇbec,cemetery,pan trap,2012,,,,1,46,2,5,27,0,0,0,2,0,0,,0,,,1,0,0,,,,,,,,,,2,,,1,,,,,13,,1,0,13,5,14,5,0,4,0,,,,1,1,0,0,0,2,9,1,1,0,0,,1,0,0,0,0,0,0,1,3,1,,1,0,1,0,,0,,,,0,,,,0,1,,,0,,0,0,3,,,,0,0,,,,,,,,,0,,,,0,1,12,0,,0,,0,,0,0,,,,,,,0,1,0,2,,,0,,,7,,,,,,,,,,0,,,,,,,,,0,,,,,2,,0,,,,,,,3,,,,,,1,,,0,,0,,,,,,,,,,,,,,,
CMH,Mount Hermont,Cemetery,Quebec,92127,46.7788,-71.2469,QuÇbec,cemetery,pan trap,2012,,1,,0,52,10,10,15,2,5,4,1,0,0,,1,,,1,0,1,,,,,,,,,,0,,,1,,,,,10,,8,0,2,2,19,7,7,2,1,,,,1,11,0,0,0,6,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,1,,,,1,,,,2,1,,,0,,6,4,0,,,,0,1,,,,,,,,,0,,,,0,0,5,0,,0,,0,,0,0,,,,,,,0,1,0,5,3,,0,,,0,,,,,,,,,,0,,,,,,,,,0,4,2,,,0,,0,,,,,,,5,,,,,,2,,,0,,1,,,,,,,,,,,,,,,
CNDF,Notre-Dame-de-Foy,Cemetery,Quebec,7051,46.7778,-71.3031,QuÇbec,cemetery,pan trap,2012,,,,0,71,0,3,10,0,0,4,2,0,0,,1,,,1,0,0,,,,,,,,,,0,,,1,,,,,1,,1,0,0,0,5,8,0,0,0,,,,0,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,0,,,,0,0,,,0,,0,1,0,,,,0,0,,,,,,,,,0,,,,0,0,0,0,,0,,0,,0,0,,,,,,,0,0,0,0,,,0,,,0,,,,,,,,,,0,,,,,,,,,0,,,,,1,,0,,,,,,,,,,,,,0,,,0,,0,,,,,,,,,,,,,,,
CSA,Saint-Augustin,Cemetery,Quebec,9988,46.7433,-71.458,QuÇbec,cemetery,pan trap,2012,,,,2,15,0,0,2,0,0,1,1,3,1,,2,,,0,0,0,,,,,,,,,,0,,,0,,,,,0,,3,0,1,0,0,0,1,0,0,,,,0,0,0,0,0,0,1,0,0,0,0,,1,4,0,0,0,1,0,0,0,0,,0,0,0,0,,0,,,,0,,,,0,0,,,0,,0,0,0,,,,0,0,,,,,,,,,0,,,,0,0,0,0,,0,,0,,0,0,,,,,,,1,0,0,0,,,0,,,0,,,,,,,,,,0,,,,,,,,,0,,1,,,0,,0,,,,,,,,,,,,,0,,,0,,0,,,,,,,,,,,,,,,
CSC,Saint-Charles,Cemetery,Quebec,117697,46.8087,-71.2725,QuÇbec,cemetery,pan trap,2012,,,,0,27,1,23,38,0,2,1,1,0,0,,10,,,0,0,0,,,,,,,,,,1,,,0,,,,,5,,6,0,8,2,13,5,9,0,0,,,,0,4,0,0,1,3,3,3,0,1,1,,4,0,3,0,0,0,2,5,0,0,,19,1,0,0,,0,,,,0,,,,0,0,,,1,,1,4,1,,,,1,0,,,,,,,,,0,,,1,0,1,12,7,,2,,0,,0,0,,,,,,,0,0,0,2,6,,0,,,21,,,,,,,,,,0,,,,,,,,,0,,,,,3,,0,,,,,,,,,,,,,0,,,0,,0,,,,,,,,,,,,,,,
CSP,Saint-Patrick,Cemetery,Quebec,52611,46.7845,-71.2408,QuÇbec,cemetery,pan trap,2012,,,,0,13,2,1,11,0,0,2,0,0,0,,3,,,1,0,0,,,,,,,,,,0,,,0,,,,,6,,3,0,4,0,3,1,0,0,1,,,,0,0,0,0,0,0,0,1,0,1,0,,0,0,0,0,0,0,0,1,0,1,,1,0,0,0,,0,,,,0,,,,1,0,,,0,,0,0,0,,,,0,0,,,,,,,,,0,,,,0,0,3,11,,0,,0,,0,0,,,,,,,0,0,0,1,,,0,,,0,,,,,,,,,,0,,,,,,,,,0,,1,1,,0,,0,,,,,,,1,,,,,,0,,,0,,0,,,,,,,,,,,,,,,
JD,Duberger,Community garden,Quebec,1856,46.8115,-71.2918,QuÇbec,community garden,pan trap,2012,,,,0,2,0,1,3,0,0,1,0,0,0,,0,,,0,0,0,,,,,,,,,,2,,,0,,,,,0,,0,0,2,0,4,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,0,,,,0,0,,,0,,0,1,0,,,,0,0,,,,,,,,,0,,,,0,0,1,0,,0,,0,,0,0,,,,,,,0,0,0,0,,,0,,,0,,,,,,,,,,0,,,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,0,,,0,,0,,,,,,,,,,,,,,,
JLM,Le Marmottier,Community garden,Quebec,2845,46.7935,-71.2419,QuÇbec,community garden,pan trap,2012,,,,0,7,0,0,0,0,0,1,1,0,0,,1,,,1,0,0,,,,,,,,,,0,,,1,,,,,0,,0,0,0,0,0,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,0,,,,0,0,,,0,,0,0,0,,,,0,0,,,,,,,,,0,,,,0,0,0,0,,0,,0,,0,0,,,,,,,0,0,0,0,,,0,,,0,,,,,,,,,,0,,,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,0,,,0,,0,,,,,,,,,,,,,,,
JLR,Louis-Riel,Community garden,Quebec,3907,46.765,-71.3047,QuÇbec,community garden,pan trap,2012,,,,0,0,0,0,7,0,0,0,0,0,0,,2,,,0,0,0,,,,,,,,,,1,,,0,,,,,1,,1,0,0,0,1,0,1,1,0,,,,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,2,,,,1,,,,1,0,,,0,,0,1,0,,,,0,1,,,,,,,,,3,,,,0,1,8,0,,0,,0,,0,0,,,,,,,0,0,0,1,,,0,,,0,,,,,,,,,,0,,,,,,,,,0,,,1,,0,,0,,,,,,,,,,,,,0,,,0,,0,,,,,,,,,,,,,,,
JM,Marchand,Community garden,Quebec,1510,46.8372,71.241248,QuÇbec,community garden,pan trap,2012,,,,0,67,3,2,9,4,1,4,10,0,0,,0,,,0,0,0,,,,,,,,,,2,,,0,,,,,3,,3,2,0,0,5,1,0,0,0,,,,0,0,0,0,0,0,1,1,0,0,0,,0,0,0,0,1,0,0,1,0,0,,0,0,2,0,,0,,,,0,,,,1,1,,,0,,0,1,0,,,,0,0,,,,,,,,,0,,,,0,0,0,0,,0,,0,,0,0,,,,,,,0,3,0,3,4,,0,,,1,,,,,,,,,,0,,,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,0,,,0,,0,,,,,,,,,,,,,,,
JML,Mont-Lilas,Community garden,Quebec,8316,46.8612,-71.1966,QuÇbec,community garden,pan trap,2012,,,,1,14,7,10,6,1,7,4,7,1,1,,3,,,3,1,0,,,,,,,,,,0,,,7,,,,,1,,0,0,2,1,3,3,0,20,0,,,,1,0,0,1,0,2,0,0,0,0,0,,0,0,1,0,0,0,0,2,1,1,,2,0,0,0,,0,,,,0,,,,3,0,,,0,,0,37,0,,,,0,0,,,,,,,,,0,,,,0,0,6,0,,0,,0,,0,0,,,,,,,1,0,0,0,4,,0,,,0,,,,,,,,,,0,,,,,,,,,0,,,,,0,,2,,,,,,,1,,,,,,0,,,0,,0,,,,,,,,,,,,,,,
JPS,Parc des Sables,Community garden,Quebec,1545,46.8214,-71.2221,QuÇbec,community garden,pan trap,2012,,,,1,9,3,0,0,0,0,2,4,0,0,,0,,,0,0,0,,,,,,,,,,1,,,1,,,,,0,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,,0,1,1,0,,1,,,,0,,,,0,0,,,0,,0,0,0,,,,0,0,,,,,,,,,0,,,,0,0,0,0,,0,,1,,0,0,,,,,,,0,0,0,0,,,0,,,0,,,,,,,,,,0,,,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,0,,,0,,0,,,,,,,,,,,,,,,
JPSF,Pointe Sainte-Foy,Community garden,Quebec,9046,46.766,-71.3299,QuÇbec,community garden,pan trap,2012,,,,0,1,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,,,,,,,,0,,,0,,,,,0,,0,0,0,0,2,0,0,0,0,,,,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,0,,,,0,0,,,0,,0,0,0,,,,0,0,,,,,,,,,0,,,,0,0,0,1,,0,,0,,0,0,,,,,,,1,0,0,0,,,0,,,0,,,,,,,,,,0,,,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,0,,,0,,0,,,,,,,,,,,,,,,
JSD,Sapiniäre Dorion,Community garden,Quebec,2921,46.8445,-71.2403,QuÇbec,community garden,pan trap,2012,,,,0,7,5,0,1,0,0,3,27,0,0,,1,,,0,0,0,,,,,,,,,,0,,,0,,,,,0,,0,0,0,1,3,2,0,0,0,,,,0,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,0,,,,1,0,,,0,,0,0,0,,,,0,0,,,,,,,,,0,,,,0,0,2,0,,0,,0,,0,0,,,,,,,0,1,0,0,,,0,,,0,,,,,,,,,,0,,,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,0,,,0,,0,,,,,,,,,,,,,,,
JUL,UniversitÇ Laval,Community garden,Quebec,7131,46.7778,-71.2829,QuÇbec,community garden,pan trap,2012,,,,2,69,3,12,20,0,0,1,0,1,0,,2,,,0,0,0,,,,,,,,,,7,,,3,,,,,10,,10,0,1,1,33,5,9,0,0,,,,0,7,0,1,1,5,2,1,0,1,0,,3,0,0,0,9,0,0,1,0,0,,0,1,2,0,,0,,,,0,,,,0,0,,,0,,0,1,0,,,,0,0,,,,,,,,,0,,,,0,0,1,0,,0,,0,,0,0,,,,,,,0,3,0,4,1,,0,,,1,4,,,,,,,,,0,,,,,,,,,2,1,4,2,,2,,0,,,,,,,,,,,,,0,,,0,,0,,,,,,,,,,,,,,,
JVN,Versant Nord,Community garden,Quebec,3593,46.7803,-71.3206,QuÇbec,community garden,pan trap,2012,,,,1,37,2,0,6,0,5,1,1,0,0,,1,,,0,0,0,,,,,,,,,,3,,,2,,,,,1,,0,0,0,0,0,0,0,0,2,,,,0,0,0,0,0,0,1,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,0,,,,0,0,,,0,,0,0,0,,,,0,0,,,,,,,,,1,,,,0,0,0,0,,0,,0,,0,0,,,,,,,0,0,0,0,,,0,,,1,,,,,,,,,,0,,,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,0,,,0,,0,,,,,,,,,,,,,,,
PBC,Bois-de-Coulonge,Nature park,Quebec,143779,46.7897,-71.2382,QuÇbec,park,pan trap,2012,,,,0,19,0,5,2,0,0,1,0,0,0,,0,,,0,0,0,,,,,,,,,,0,,,0,,,,,0,,1,0,1,0,2,1,0,0,0,,,,1,3,2,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,,5,0,0,1,,0,,,,0,,,,0,0,,,0,,0,0,0,,,,0,0,,,,,,,,,0,,,,0,0,0,0,,0,,0,,0,0,,,,,,,0,0,0,0,,,0,,,0,,,,,,,,,,0,,,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,0,,,0,,0,,,,,,,,,,,,,,,
PCB,Cartier-BrÇboeuf,Nature park,Quebec,28503,46.825,-71.2403,QuÇbec,park,pan trap,2012,,1,,1,135,1,4,3,0,0,6,5,0,0,,0,,,0,0,0,,,,,,,,,,0,,,0,,,,,1,,5,0,5,3,19,18,1,2,0,,,,1,1,0,1,1,6,2,0,0,0,0,,2,0,1,7,4,0,0,0,0,0,,1,6,41,0,,2,,,,4,,,,0,1,,,0,,0,2,1,,,,0,0,,,,,,,,,0,,,,1,4,13,0,,0,,0,,0,0,,,,,,,1,0,0,0,,,0,,,0,,,,,,,,,,0,,,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,0,,,0,,0,,,,,,,,,,,,,,,
PDC,Domaine Cataraqui,Nature park,Quebec,38076,46.775,-71.253,QuÇbec,park,pan trap,2012,,,,0,33,1,3,2,0,1,0,0,0,0,,0,,,0,0,0,,,,,,,,,,0,,,0,,,,,0,,5,0,3,0,4,2,1,0,1,,,,0,1,0,0,0,1,3,0,0,1,0,,0,0,0,0,0,0,1,1,0,0,,4,0,0,0,,0,,,,0,,,,0,0,,,0,,0,0,0,,,,0,0,,,,,,,,,0,,,,0,0,0,0,,0,,0,,0,0,,,,,,,0,0,0,0,,,0,,,0,,,,,,,,,,0,,,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,0,,,0,,0,,,,,,,,,,,,,,,
PPASF,Base de Plein air Sainte-Foy,Nature park,Quebec,52313,46.7911,-71.3283,QuÇbec,park,pan trap,2012,,,,1,4,52,13,30,5,3,1,43,3,3,,4,,,3,0,2,,,,,,,,,,3,,,2,,,,,2,,0,0,1,1,0,8,13,2,0,,,,1,1,0,0,0,0,1,0,0,0,0,,18,0,0,2,0,0,1,0,0,0,,13,3,1,1,,0,,,,0,,,,1,0,,,2,,0,0,0,,,,0,1,,,,,,,,,0,,,,0,2,5,1,,0,,0,,1,0,,,,,,,1,0,0,0,,,1,,,0,,,,,,,,,,0,,,,,,,,,0,,,1,,2,,0,,,,,,,1,,,,,,1,,,0,,0,,,,,,,,,,,,,,,
PPJC,Plage Jacques-Cartier,Nature park,Quebec,22584,46.7506,-71.3138,QuÇbec,park,pan trap,2012,,,,0,10,0,7,4,0,0,2,1,0,1,,0,,,0,0,0,,,,,,,,,,0,,,4,,,,,5,,3,0,0,0,1,4,1,0,1,,,,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,0,,,,0,0,,,0,,0,0,0,,,,0,0,,,,,,,,,0,,,,0,0,2,0,,0,,0,,0,0,,,,,,,0,0,0,0,,,0,,,0,,,,,,,,,,0,,,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,0,,,0,,0,,,,,,,,,,,,,,,
CCR,Cap-Rouge,Cemetery,Quebec,6770,46.7504,-71.3453,QuÇbec,cemetery,netting,2013,,,,1,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,9,,,2,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDB,Notre-Dame-de-Belmont,Cemetery,Quebec,92328,46.7903,-71.2787,QuÇbec,cemetery,netting,2013,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,2,22,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMH,Mount Hermont,Cemetery,Quebec,92127,46.7788,-71.2469,QuÇbec,cemetery,netting,2013,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,14,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNDF,Notre-Dame-de-Foy,Cemetery,Quebec,7051,46.7778,-71.3031,QuÇbec,cemetery,netting,2013,,,,2,9,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
CSA,Saint-Augustin,Cemetery,Quebec,9988,46.7433,-71.458,QuÇbec,cemetery,netting,2013,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
