SiteID,Lon,Lat,Area (m2),Height (m),Age (year),Sealed area (%),Family,Genus,Species,Abundance
4,16.329165,48.216574,231,16,23,83.9,Colletidae,Hylaeus,pictipes,2
4,16.329165,48.216574,231,16,23,83.9,Colletidae,Hylaeus,punctatus,
4,16.329165,48.216574,231,16,23,83.9,Colletidae,Hylaeus,sinuatus,
4,16.329165,48.216574,231,16,23,83.9,Colletidae,Hylaeus,styriacus,1
4,16.329165,48.216574,231,16,23,83.9,Halictidae,Halictus,kessleri,
4,16.329165,48.216574,231,16,23,83.9,Halictidae,Halictus,maculatus,
4,16.329165,48.216574,231,16,23,83.9,Halictidae,Halictus,rubicundus,
4,16.329165,48.216574,231,16,23,83.9,Halictidae,Halictus,seladonius,
4,16.329165,48.216574,231,16,23,83.9,Halictidae,Halictus,simplex,
4,16.329165,48.216574,231,16,23,83.9,Halictidae,Halictus,subauratus,22
4,16.329165,48.216574,231,16,23,83.9,Halictidae,Halictus,tumulorum,4
4,16.329165,48.216574,231,16,23,83.9,Halictidae,Lasioglossum,calceatum,
4,16.329165,48.216574,231,16,23,83.9,Halictidae,Lasioglossum,laticeps,
4,16.329165,48.216574,231,16,23,83.9,Halictidae,Lasioglossum,leucozonium,
4,16.329165,48.216574,231,16,23,83.9,Halictidae,Lasioglossum,malachurum,
4,16.329165,48.216574,231,16,23,83.9,Halictidae,Lasioglossum,marginatum,4
4,16.329165,48.216574,231,16,23,83.9,Halictidae,Lasioglossum,minutulum,
4,16.329165,48.216574,231,16,23,83.9,Halictidae,Lasioglossum,morioÿ,2
4,16.329165,48.216574,231,16,23,83.9,Halictidae,Lasioglossum,nigripes,
4,16.329165,48.216574,231,16,23,83.9,Halictidae,Lasioglossum,nitidulum,2
